
👨‍🏫 Teacher Aaron Flores (Dept: PE)
--------------------------------------------------
  📅 Monday | 16:00 - 17:00 | Room: RM-169 | Section: HUMSS-302 | Subject: HOPE4
  📅 Thursday | 18:00 - 19:00 | Room: RM-191 | Section: ABM-403 | Subject: PE4
  📅 Tuesday | 09:00 - 10:00 | Room: RM-255 | Section: STEM-403 | Subject: HOPE4
  📅 Wednesday | 13:00 - 14:00 | Room: RM-294 | Section: HUMSS-402 | Subject: HOPE4
  📅 Friday | 11:00 - 12:00 | Room: RM-205 | Section: DIGAR-303 | Subject: PE4
  📅 Monday | 14:00 - 15:00 | Room: RM-275 | Section: DIGAR-303 | Subject: HOPE4
  📅 Friday | 12:00 - 13:00 | Room: RM-283 | Section: HUMSS-405 | Subject: HOPE4
  📅 Friday | 17:00 - 18:00 | Room: RM-296 | Section: HUMSS-303 | Subject: HOPE4
  📅 Monday | 15:00 - 16:00 | Room: RM-158 | Section: STEM-304 | Subject: HOPE4
  📅 Wednesday | 17:00 - 18:00 | Room: RM-270 | Section: HUMSS-402 | Subject: PE4
  📅 Thursday | 09:00 - 10:00 | Room: RM-298 | Section: STEM-403 | Subject: HOPE4
  📅 Monday | 13:00 - 14:00 | Room: RM-112 | Section: DIGAR-301 | Subject: HOPE4
  📅 Thursday | 16:00 - 17:00 | Room: RM-227 | Section: ABM-401 | Subject: PE4
  📅 Thursday | 08:00 - 09:00 | Room: RM-143 | Section: MAWD-302 | Subject: HOPE4
  📅 Thursday | 11:00 - 12:00 | Room: RM-193 | Section: ABM-405 | Subject: HOPE4
  📅 Monday | 07:00 - 08:00 | Room: RM-227 | Section: DIGAR-403 | Subject: PE4
  📅 Wednesday | 15:00 - 16:00 | Room: RM-188 | Section: DIGAR-402 | Subject: PE4
  📅 Tuesday | 11:00 - 12:00 | Room: RM-124 | Section: MAWD-405 | Subject: PE4
  📅 Tuesday | 10:00 - 11:00 | Room: RM-138 | Section: DIGAR-402 | Subject: PE4
  📅 Wednesday | 09:00 - 10:00 | Room: RM-245 | Section: DIGAR-405 | Subject: PE4
  📅 Friday | 15:00 - 16:00 | Room: RM-108 | Section: ABM-302 | Subject: HOPE4
  📅 Monday | 18:00 - 19:00 | Room: RM-160 | Section: MAWD-404 | Subject: HOPE4
  📅 Tuesday | 13:00 - 14:00 | Room: RM-164 | Section: DIGAR-301 | Subject: HOPE4
  📅 Monday | 19:00 - 20:00 | Room: RM-294 | Section: ABM-301 | Subject: HOPE4
  📅 Monday | 06:00 - 07:00 | Room: RM-249 | Section: HUMSS-405 | Subject: HOPE4
  📅 Friday | 19:00 - 20:00 | Room: RM-197 | Section: MAWD-304 | Subject: PE4
  📅 Wednesday | 10:00 - 11:00 | Room: RM-179 | Section: ABM-403 | Subject: PE4
  📅 Tuesday | 15:00 - 16:00 | Room: RM-250 | Section: STEM-403 | Subject: HOPE4
  📅 Friday | 14:00 - 15:00 | Room: RM-184 | Section: DIGAR-401 | Subject: PE4
  📅 Friday | 13:00 - 14:00 | Room: RM-163 | Section: ABM-401 | Subject: PE4
  📅 Tuesday | 07:00 - 08:00 | Room: RM-149 | Section: STEM-405 | Subject: PE4
  📅 Thursday | 13:00 - 14:00 | Room: RM-203 | Section: HUMSS-304 | Subject: HOPE4
  📅 Tuesday | 16:00 - 17:00 | Room: RM-191 | Section: HUMSS-305 | Subject: PE4
  📅 Monday | 17:00 - 18:00 | Room: RM-275 | Section: STEM-404 | Subject: PE4
  📅 Tuesday | 06:00 - 07:00 | Room: RM-303 | Section: STEM-403 | Subject: PE4
  📅 Wednesday | 08:00 - 09:00 | Room: RM-158 | Section: DIGAR-303 | Subject: PE4
  📅 Tuesday | 08:00 - 09:00 | Room: RM-269 | Section: HUMSS-304 | Subject: HOPE4

👨‍🏫 Teacher Elena Santos (Dept: ICT)
--------------------------------------------------
  📅 Wednesday | 14:00 - 15:00 | Room: RM-225 | Section: HUMSS-402 | Subject: JAVA
  📅 Wednesday | 08:00 - 09:00 | Room: RM-185 | Section: STEM-301 | Subject: SQL
  📅 Tuesday | 12:00 - 13:00 | Room: RM-211 | Section: MAWD-303 | Subject: JAVA
  📅 Wednesday | 06:00 - 07:00 | Room: RM-225 | Section: MAWD-301 | Subject: SQL
  📅 Thursday | 09:00 - 10:00 | Room: RM-135 | Section: DIGAR-404 | Subject: JAVA
  📅 Thursday | 14:00 - 15:00 | Room: RM-103 | Section: MAWD-302 | Subject: SQL
  📅 Wednesday | 16:00 - 17:00 | Room: RM-158 | Section: STEM-304 | Subject: SQL
  📅 Wednesday | 10:00 - 11:00 | Room: RM-120 | Section: DIGAR-405 | Subject: JAVA
  📅 Friday | 15:00 - 16:00 | Room: RM-155 | Section: STEM-403 | Subject: JAVA
  📅 Wednesday | 07:00 - 08:00 | Room: RM-103 | Section: STEM-404 | Subject: SQL
  📅 Tuesday | 07:00 - 08:00 | Room: RM-224 | Section: HUMSS-404 | Subject: JAVA
  📅 Thursday | 13:00 - 14:00 | Room: RM-283 | Section: MAWD-302 | Subject: SQL
  📅 Thursday | 11:00 - 12:00 | Room: RM-173 | Section: MAWD-302 | Subject: JAVA
  📅 Saturday | 15:00 - 16:00 | Room: RM-304 | Section: DIGAR-405 | Subject: SQL
  📅 Tuesday | 16:00 - 17:00 | Room: RM-264 | Section: DIGAR-401 | Subject: SQL
  📅 Saturday | 14:00 - 15:00 | Room: RM-107 | Section: HUMSS-405 | Subject: JAVA
  📅 Saturday | 10:00 - 11:00 | Room: RM-114 | Section: ABM-403 | Subject: SQL
  📅 Saturday | 16:00 - 17:00 | Room: RM-138 | Section: DIGAR-405 | Subject: SQL
  📅 Friday | 07:00 - 08:00 | Room: RM-124 | Section: DIGAR-402 | Subject: SQL
  📅 Friday | 11:00 - 12:00 | Room: RM-212 | Section: DIGAR-304 | Subject: JAVA
  📅 Wednesday | 09:00 - 10:00 | Room: RM-292 | Section: MAWD-402 | Subject: JAVA
  📅 Wednesday | 19:00 - 20:00 | Room: RM-272 | Section: HUMSS-403 | Subject: SQL
  📅 Saturday | 06:00 - 07:00 | Room: RM-204 | Section: STEM-401 | Subject: JAVA
  📅 Tuesday | 08:00 - 09:00 | Room: RM-137 | Section: HUMSS-401 | Subject: SQL
  📅 Saturday | 12:00 - 13:00 | Room: RM-189 | Section: STEM-305 | Subject: SQL
  📅 Friday | 18:00 - 19:00 | Room: RM-126 | Section: ABM-401 | Subject: SQL
  📅 Thursday | 08:00 - 09:00 | Room: RM-198 | Section: ABM-405 | Subject: JAVA
  📅 Friday | 17:00 - 18:00 | Room: RM-217 | Section: HUMSS-301 | Subject: SQL
  📅 Friday | 13:00 - 14:00 | Room: RM-104 | Section: DIGAR-305 | Subject: SQL
  📅 Thursday | 19:00 - 20:00 | Room: RM-108 | Section: MAWD-405 | Subject: SQL
  📅 Tuesday | 09:00 - 10:00 | Room: RM-295 | Section: DIGAR-301 | Subject: JAVA
  📅 Saturday | 11:00 - 12:00 | Room: RM-262 | Section: DIGAR-405 | Subject: JAVA
  📅 Wednesday | 18:00 - 19:00 | Room: RM-191 | Section: MAWD-401 | Subject: JAVA
  📅 Tuesday | 06:00 - 07:00 | Room: RM-121 | Section: MAWD-305 | Subject: JAVA
  📅 Friday | 12:00 - 13:00 | Room: RM-176 | Section: ABM-403 | Subject: JAVA
  📅 Thursday | 06:00 - 07:00 | Room: RM-305 | Section: MAWD-304 | Subject: JAVA
  📅 Saturday | 09:00 - 10:00 | Room: RM-281 | Section: MAWD-401 | Subject: SQL
  📅 Saturday | 07:00 - 08:00 | Room: RM-303 | Section: STEM-401 | Subject: JAVA

👨‍🏫 Teacher Isabella Aquino (Dept: Science)
--------------------------------------------------
  📅 Friday | 15:00 - 16:00 | Room: RM-255 | Section: STEM-302 | Subject: CHEM
  📅 Thursday | 09:00 - 10:00 | Room: RM-236 | Section: DIGAR-304 | Subject: PHYSICS
